hour_of_day,avg_temp
0,25.853500000000004
1,26.574444444444445
2,25.594313725490192
3,25.314000000000004
4,23.913488372093028
5,26.178399999999996
6,25.41735294117647
7,26.25907407407407
8,25.350249999999996
9,23.85025641025641
10,24.145
11,24.525945945945953
12,25.204042553191492
13,23.713636363636365
14,24.618372093023254
15,25.040749999999996
16,24.353999999999992
17,24.894545454545455
18,25.645714285714288
19,25.31209302325582
20,25.574999999999996
21,24.494285714285716
22,24.477600000000002
23,24.26216216216216
